
2006-10-28 20.11.11 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250849 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.13 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250871 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.13 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250873 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.13 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250881 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.15 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250903 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.15 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250904 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.15 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250914 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.17 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250935 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.17 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250936 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.17 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250946 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
